中文标准名,标准匹配名,英文常见名,分类,每100g热量kcal,每100g蛋白g,每100g碳水g,每100g脂肪g,默认份量,默认份量克重,默认存放,是否规格敏感,数据来源,备注
鸡蛋(带壳去壳生),鸡蛋,egg (whole raw),蛋白,143,12.6,0.7,9.5,1个(大),50,冷藏,否,USDA FDC 171287,标准全蛋
牛肉(瘦生),牛肉,beef lean (raw),蛋白,150,21.0,0,7.0,1份,100,冷藏,是,USDA FDC,参考瘦牛肉;肥瘦部位差异大以标签为准
牛排(西冷生),牛排,sirloin steak (raw),蛋白,183,21.2,0,10.6,1份,150,冷藏,是,USDA FDC,部位差异大(西冷/眼肉/菲力)以标签为准
猪肉(瘦生),猪肉,pork lean (raw),蛋白,143,21.0,0,6.0,1份,100,冷藏,是,USDA FDC,参考里脊;五花肉热量高很多
猪蹄(生),猪蹄,pork feet / trotter (raw),蛋白,212,23.2,0,12.6,1份,150,冷藏,否,USDA FDC,高胶原;红烧后加糖油热量升高
鸡胸肉(去皮生),鸡胸肉,chicken breast skinless (raw),蛋白,120,22.5,0,2.6,1块,120,冷藏,否,USDA FDC 171077,熟制后约165kcal/31g蛋白
三文鱼(生),三文鱼,salmon atlantic (raw),蛋白,208,20.4,0,13.4,1份,100,冷藏,是,USDA FDC,养殖/野生脂肪不同
虾(去壳生),虾,shrimp (raw),蛋白,85,20.3,0.2,0.5,1份,100,冷冻,否,USDA FDC,
金枪鱼(水浸罐头沥干),金枪鱼,tuna canned in water,蛋白,116,25.5,0,0.8,1罐(小),100,常温,是,USDA FDC,油浸罐头需另建条目
豆腐(嫩/南豆腐),豆腐,tofu soft,蛋白,76,8.1,1.9,4.8,1块,100,冷藏,是,USDA FDC,老豆腐(北豆腐)约98-144kcal需另建条目
希腊酸奶(原味脱脂),希腊酸奶,greek yogurt plain nonfat,蛋白,59,10.3,3.6,0.4,1杯,170,冷藏,是,USDA FDC,全脂/加糖差异大以品牌标签为准
米饭(熟),米饭,white rice cooked,主食,130,2.7,28.2,0.3,1碗,150,冷藏,否,USDA FDC 168878,长粒白米熟
糙米(熟),糙米,brown rice cooked,主食,123,2.7,25.6,1.0,1碗,150,冷藏,否,USDA FDC,
藜麦(熟),藜麦,quinoa cooked,主食,120,4.4,21.3,1.9,1份,150,冷藏,否,USDA FDC,
意大利面(熟),意大利面,pasta cooked,主食,157,5.8,30.9,0.9,1份,150,冷藏,否,USDA FDC,干意面约371kcal/100g
面条(挂面熟),面条,wheat noodles cooked,主食,138,4.5,25.0,0.9,1份,150,冷藏,否,USDA FDC,挂面/乌冬类;含油泡面需另建条目
面包(白吐司),面包,white bread,主食,265,9.0,49.0,3.2,1片,30,常温,是,USDA FDC,全麦约247kcal
