name,role,servings,note
番茄炖牛腩,蛋白主菜,4,"你常做,按实际牛腩量改份数"
咖喱鸡,蛋白主菜,4,咖喱块务必核热量
香煎鸡胸,蛋白主菜,1,
白灼大虾,蛋白主菜,1,
清蒸鲈鱼,蛋白主菜,1,
豆芽炒牛肉,蛋白主菜,1,
番茄炒蛋,蛋白主菜,2,
卤牛腱,蛋白主菜,3,做一批分几顿
香煎三文鱼,蛋白主菜,1,
彩椒炒鸡胸,蛋白主菜,1,
蒜蓉西兰花,蔬菜,1,
清炒菠菜,蔬菜,1,
凉拌黄瓜,蔬菜,1,
蒜蓉金针菇,蔬菜,1,
醋溜白菜,蔬菜,1,
凉拌豆腐,蔬菜,1,
辣白菜豆腐汤,汤,3,贴纸菜
海带豆腐汤,汤,3,
番茄豆芽汤,汤,2,
萝卜牛肉汤,汤,4,
辣牛肉豆腐汤,汤,3,
白米饭,主食,2,按拳数
蒸红薯,主食,1,
燕麦粥,主食,1,
洋葱牛肉饭,主食,1,
煲仔饭,主食,1,"主食重,控份"
南瓜饭,主食,1,
沙拉碗,组装餐,1,蛋白可换
三明治,组装餐,1,料多则分2顿
Pasta Salad,组装餐,2,
柚子醋乌冬,组装餐,1,
北非蛋,组装餐,1,
水煮蛋,snack,1,
希腊酸奶配水果,snack,1,
坚果一份,snack,1,
黑巧一份,snack,1,
everything贝果,组装餐,1,参考值待核
St Michel饼干,snack,1,1份=2片33g;吃几份填份数
金枪鱼意面,组装餐,1,6/25晚餐
酸奶碗,组装餐,1,"早餐,可复用"
三文鱼蔬菜面,组装餐,1,6/26清库存
