recipe_name,ingredient_name,grams,note
番茄炖牛腩,"牛腩(带肥,生)",400,约0.9 lb
番茄炖牛腩,番茄,300,约3个
番茄炖牛腩,洋葱,80,半个
番茄炖牛腩,喷油(底油),3,几喷
咖喱鸡,鸡腿肉去皮(生),400,
咖喱鸡,咖喱块,60,约3块
咖喱鸡,洋葱,100,
咖喱鸡,胡萝卜,100,
香煎鸡胸,鸡胸肉(生),200,
香煎鸡胸,喷油(底油),3,几喷
白灼大虾,"虾(生,去壳)",200,
清蒸鲈鱼,"白肉鱼(鲈/鳕,生)",250,
豆芽炒牛肉,瘦牛肉末93/7(生),150,
豆芽炒牛肉,绿豆芽,150,
豆芽炒牛肉,喷油(底油),3,
番茄炒蛋,鸡蛋,150,3个
番茄炒蛋,番茄,200,
番茄炒蛋,喷油(底油),3,
卤牛腱,牛腱(生),300,
香煎三文鱼,三文鱼(生),200,
香煎三文鱼,喷油(底油),3,
彩椒炒鸡胸,鸡胸肉(生),200,
彩椒炒鸡胸,彩椒,150,
彩椒炒鸡胸,喷油(底油),3,
蒜蓉西兰花,西兰花,250,
蒜蓉西兰花,喷油(底油),3,
清炒菠菜,菠菜,200,
清炒菠菜,喷油(底油),3,
凉拌黄瓜,黄瓜,200,
凉拌黄瓜,黑醋 balsamic,10,
蒜蓉金针菇,金针菇/口蘑,200,
醋溜白菜,卷心菜,250,
醋溜白菜,黑醋 balsamic,10,
醋溜白菜,喷油(底油),3,
凉拌豆腐,嫩豆腐 silken,200,
辣白菜豆腐汤,辣白菜 kimchi,150,
辣白菜豆腐汤,老豆腐 firm tofu,200,
辣白菜豆腐汤,瘦牛肉末93/7(生),100,
海带豆腐汤,海带(泡发),100,
海带豆腐汤,老豆腐 firm tofu,200,
番茄豆芽汤,番茄,200,
番茄豆芽汤,绿豆芽,100,
番茄豆芽汤,鸡蛋,50,1个
萝卜牛肉汤,瘦牛肉末93/7(生),300,
萝卜牛肉汤,白萝卜,300,
辣牛肉豆腐汤,瘦牛肉末93/7(生),200,
辣牛肉豆腐汤,老豆腐 firm tofu,200,
辣牛肉豆腐汤,辣白菜 kimchi,100,
白米饭,米饭(熟),300,约2拳
蒸红薯,红薯(熟),250,
燕麦粥,燕麦(干),40,半拳
燕麦粥,牛奶(2%),200,
洋葱牛肉饭,米饭(熟),200,
洋葱牛肉饭,瘦牛肉末93/7(生),150,
洋葱牛肉饭,洋葱,100,
煲仔饭,米饭(熟),200,
煲仔饭,鸡腿肉去皮(生),150,
煲仔饭,卷心菜,100,
南瓜饭,米饭(熟),150,
南瓜饭,南瓜 kabocha(熟),200,
沙拉碗,生菜,100,
沙拉碗,菠菜,50,
沙拉碗,彩椒,80,
沙拉碗,黄瓜,80,
沙拉碗,鸡胸肉(生),150,蛋白可换虾/金枪鱼/蛋
沙拉碗,黑醋 balsamic,15,
三明治,全麦面包,56,2片
三明治,金枪鱼罐头(水浸),80,或鸡胸/蛋
三明治,生菜,30,
三明治,番茄,50,
三明治,牛油果,50,半个
Pasta Salad,意面(干),100,干重
Pasta Salad,彩椒,80,
Pasta Salad,黄瓜,80,
Pasta Salad,"虾(生,去壳)",100,
Pasta Salad,黑醋 balsamic,15,
柚子醋乌冬,乌冬(熟),200,
柚子醋乌冬,柚子醋 ponzu,20,
柚子醋乌冬,菠菜,50,
柚子醋乌冬,鸡蛋,50,1个
北非蛋,番茄,200,
北非蛋,彩椒,100,
北非蛋,鸡蛋,100,2个
北非蛋,喷油(底油),3,
水煮蛋,鸡蛋,100,2个
希腊酸奶配水果,希腊酸奶(脱脂原味),200,
希腊酸奶配水果,香蕉,100,
坚果一份,混合坚果,15,
黑巧一份,黑巧克力85%,20,
everything贝果,everything贝果,100,1个
St Michel饼干,St Michel饼干galettes,33,1份=2片
金枪鱼意面,意面(干),90,干重80-100取90
金枪鱼意面,金枪鱼罐头(水浸),71,半罐
金枪鱼意面,减脂蛋黄酱light mayo,18,酱共~25g
金枪鱼意面,芥末 mustard,7,黄芥末
金枪鱼意面,黄瓜,60,1/5根
金枪鱼意面,番茄,150,十几个小番茄
酸奶碗,燕麦(干),20,20g
酸奶碗,牛奶(2%),20,20g润湿
酸奶碗,希腊酸奶(脱脂原味),150,无糖150g
三文鱼蔬菜面,三文鱼(生),227,"上批,这次规格1/2"
三文鱼蔬菜面,意面(干),100,"剩面条生重,按干面估"
三文鱼蔬菜面,芥蓝/茼蒿/莴笋,150,"剩下所有青菜,约150g估"
三文鱼蔬菜面,金针菇/口蘑,100,"海鲜菇半包,约100g估"
