菜谱库
菜谱名,分类标签,默认是否加入候选菜池,主要食材,每项克重,默认忽略项,备注,默认份数
香煎三文鱼配西兰花,蛋白主菜/快手,是,三文鱼、西兰花、橄榄油,150、150、10,盐、黑胡椒、柠檬,地中海清淡,1
鸡胸肉牛油果沙拉,快手/蛋白主菜,是,鸡胸肉、牛油果、生菜、番茄、橄榄油,120、50、60、80、10,盐、醋、香料,快手沙拉,1
番茄炖牛肉,备餐/蛋白主菜,是,牛肉、番茄、土豆,200、200、150,葱姜、盐、少量油,中式炖菜可批量备餐,4
番茄炒蛋,快手/早餐,是,鸡蛋、番茄、橄榄油,100、150、10,盐、少量糖、葱,中式快手(2个蛋),2
燕麦蓝莓早餐碗,早餐/快手,是,燕麦片、全脂牛奶、蓝莓、香蕉,40、240、50、60,蜂蜜少量,早餐,1
希腊酸奶水果杯,早餐/快手,是,希腊酸奶、蓝莓、香蕉,170、50、60,蜂蜜、坚果少量,早餐,1
蒜香虾意面,主食碗/快手,是,虾、意大利面、番茄、橄榄油,120、200、80、12,蒜、盐、欧芹,意式家庭菜,1
香菇炖豆腐,备餐,是,豆腐、香菇,200、100,酱油、葱姜、少量油,中式炖菜素食,2
鸡胸肉米饭碗,主食碗/备餐,是,鸡胸肉、米饭、西兰花,120、150、100,酱油、盐,备餐可换糙米,1
牛肉土豆炖,备餐/蛋白主菜,是,牛肉、土豆、番茄,200、200、100,葱姜、盐、少量油,中式炖菜,4
金枪鱼沙拉,快手,是,金枪鱼、生菜、番茄、黄瓜、橄榄油,100、60、80、100、8,盐、柠檬,快手沙拉,1
牛油果水煮蛋吐司,早餐/快手,是,面包、鸡蛋、牛油果,60、100、50,盐、黑胡椒,早餐(2片面包/2个蛋),1
番茄意面,主食碗,是,意大利面、番茄、橄榄油,200、150、12,蒜、罗勒、盐,意式清淡,4
香煎鸡胸配沙拉,蛋白主菜/快手,是,鸡胸肉、生菜、黄瓜、番茄、橄榄油,150、60、100、80、10,盐、醋,地中海清淡,1
燕麦花生酱能量碗,早餐,否,燕麦片、花生酱、香蕉、全脂牛奶,40、16、60、240,肉桂少量,高热量默认不入候选池,1
虾仁蔬菜炒,快手,是,虾、西兰花、蘑菇、橄榄油,120、100、50、10,蒜、盐、酱油,快手,1
藜麦鸡胸蔬菜碗,主食碗/备餐,是,鸡胸肉、藜麦、彩椒、西兰花、橄榄油,120、150、80、80、10,盐,备餐,1
烤红薯鸡蛋早餐,早餐,是,红薯、鸡蛋、牛油果,200、100、50,盐、黑胡椒,早餐(2个蛋),1
中式番茄鸡蛋面,主食碗/快手,是,面条、鸡蛋、番茄,200、100、150,葱、盐、酱油,中式快手,1
红烧豆腐,备餐,是,豆腐、香菇、彩椒,250、50、60,酱油、糖、葱姜、少量油,中式(含少量糖油),2
三文鱼藜麦碗,主食碗/蛋白主菜,是,三文鱼、藜麦、菠菜、牛油果、橄榄油,150、150、60、50、8,盐、柠檬,地中海,1
意式蔬菜烩,备餐,是,茄子、西葫芦、番茄、彩椒、橄榄油,150、150、200、80、15,蒜、盐、香草,意式(ratatouille风),1
希腊酸奶隔夜燕麦,早餐,是,燕麦片、希腊酸奶、蓝莓、杏仁,40、150、50、15,蜂蜜少量,早餐(overnight oats),1
牛肉炒彩椒,快手/蛋白主菜,是,牛肉、彩椒、洋葱、橄榄油,150、100、60、10,酱油、盐,中式快手,1
金枪鱼牛油果三明治,快手/早餐,是,面包、金枪鱼、牛油果、生菜,60、80、50、30,盐、黑胡椒,快手(2片面包),1
香煎鸡胸红薯碗,备餐/主食碗,是,鸡胸肉、红薯、菠菜、橄榄油,120、200、60、10,盐,备餐,1
蔬菜蛋炒饭,主食碗/快手,是,米饭、鸡蛋、胡萝卜、甜玉米、彩椒、橄榄油,200、100、60、60、60、10,酱油、葱、盐,中式快手,1
布拉塔番茄沙拉,快手,是,番茄、布拉塔、橄榄油,150、60、10,罗勒、盐、意式香醋,意式caprese风,1
猪肉炖卷心菜,备餐,是,猪肉、卷心菜、胡萝卜,150、200、80,酱油、葱姜、盐,中式炖菜,1
糙米牛油果虾仁碗,主食碗,是,虾、糙米、牛油果、菠菜、橄榄油,120、150、50、60、8,盐、柠檬,备餐,1
烤时蔬,快手/备餐,是,茄子、彩椒、西葫芦、橄榄油,100、100、100、15,盐、黑胡椒、香草,可选组合;橄榄油为主要热量,2
香煎牛排配烤蔬,蛋白主菜/备餐,是,牛排、小番茄、土豆、胡萝卜、橄榄油,200、100、150、80、12,盐、黑胡椒、迷迭香,配烤小土豆,1
红烧猪蹄,备餐/蛋白主菜,否,猪蹄、白砂糖,300、15,酱油、葱姜、八角、料酒,高脂高糖默认不入候选池,4
盐葱牛肉,快手/蛋白主菜,是,牛肉、橄榄油,150、12,葱、盐、蒜,台式风;盐葱酱含油,1
韩式辣豆腐汤,备餐/蛋白主菜,是,豆腐、鸡蛋、洋葱、牛肉、面条,200、50、60、80、150,韩式辣椒酱、蒜、葱、盐,순두부风;辣椒酱含少量糖,1
