name,category,kcal_per_100g,protein_per_100g,carb_per_100g,fat_per_100g,package_spec,storage,shelf_stable,is_verified,note
鸡胸肉(生),蛋白质,120,23,0,2.6,family pack 2-3 lb,冷冻可,yes,false,
鸡腿肉去皮(生),蛋白质,120,20,0,4,按 lb,冷冻可,yes,false,
带皮鸡腿(生),蛋白质,215,18,0,15,按 lb,冷冻可,yes,false,贴纸标少吃
瘦牛肉末93/7(生),蛋白质,152,21,0,7,1 lb 装,冷冻可,yes,false,肥瘦比看包装
"牛腩(带肥,生)",蛋白质,250,18,0,20,按 lb,冷冻可,yes,false,"部位差异大;炖菜按生重记,油脂自动含"
牛腱(生),蛋白质,150,20,0,7,按 lb,冷冻可,yes,false,卤味用
三文鱼(生),蛋白质,208,20,0,13,fillet/按 lb,冷冻可,yes,false,
"虾(生,去壳)",蛋白质,85,20,0,0.5,冷冻 1-2 lb 袋,冷冻可,yes,false,
"白肉鱼(鲈/鳕,生)",蛋白质,90,20,0,1,fillet,冷冻可,yes,false,
金枪鱼罐头(水浸),蛋白质,127,23.2,0,3.5,5 oz 罐,常温久放,yes,true,Wild Planet实测142g=180kcal/33P
鸡蛋,蛋白质,144,12.6,0.8,9.6,1打(12个),冷藏数周,yes,false,每个约50g(72kcal)
老豆腐 firm tofu,蛋白质,80,9,2,4.5,14-16 oz 盒,开封后2-3天,no,false,美国品牌差异大
嫩豆腐 silken,蛋白质,55,5,2,2.5,14-16 oz 盒,开封后2-3天,no,false,
希腊酸奶(脱脂原味),蛋白质,59,10,3.6,0,32 oz 桶/5.3 oz 杯,冷藏,yes,false,全脂/调味差异大
豆浆(无糖),蛋白质,38,3.3,1.2,1.8,half gallon 盒,冷藏久放,yes,false,
牛奶(2%),蛋白质,50,3.4,4.8,2,half gallon,冷藏~1周,yes,false,"量大易剩,考虑买小盒"
米饭(熟),碳水,130,2.7,28,0.3,生米按 lb,熟饭冷藏,yes,false,1拳≈150g≈195kcal
糙米(熟),碳水,123,2.7,26,1,袋装,生米常温久,yes,false,
黑米(熟),碳水,130,3.5,28,1,袋装,生米常温久,yes,false,
红薯(熟),碳水,90,2,21,0.1,按个/袋,常温~1-2周,half,false,
紫薯(熟),碳水,90,2,21,0.1,按个/袋,常温~1-2周,half,false,
南瓜 kabocha(熟),碳水,50,1.8,12,0.1,整个/半个,整个常温久,half,false,品种差异大
燕麦(干),碳水,380,13,67,7,大桶,常温久放,yes,false,半拳干≈40g≈150kcal
全麦面包,碳水,268,14,46,3.6,1条(约20片),冷藏~1周,no,false,每片约28g(75kcal)
口袋面包 pita,碳水,275,10,55,2.5,袋装,冷藏/冷冻,half,false,每个约60g
乌冬(熟),碳水,130,3,27,0.5,真空包,冷藏,yes,false,
意面(干),碳水,360,13,72,1.5,1 lb 盒,常温久放,yes,false,填干重
玉米(煮),碳水,96,3.4,21,1.5,按棒/袋,冷藏,half,false,
牛油果,脂肪,160,2,9,15,单个/袋,熟后2-3天,no,false,半个≈100g
混合坚果,脂肪,600,20,20,50,袋/罐,常温久放,yes,false,贴纸<15g/次
橄榄油,脂肪,884,0,0,100,瓶装,常温久放,yes,false,1 tbsp≈14g≈120kcal
喷油(底油),脂肪,884,0,0,100,喷瓶,常温久放,yes,false,"几喷≈可忽略,填2-5g"
黑巧克力85%,脂肪,600,8,30,50,块装,常温久放,yes,false,加餐小份
西兰花,蔬菜,34,2.8,7,0.4,整颗/袋,冷藏~1周,no,false,
生菜,蔬菜,15,1.4,2.9,0.2,整颗/袋,冷藏~1周,no,false,
菠菜,蔬菜,23,2.9,3.6,0.4,袋装,冷藏~5天,no,false,
芝麻菜 arugula,蔬菜,25,2.6,3.7,0.7,盒装,冷藏~5天,no,false,
胡萝卜,蔬菜,41,0.9,10,0.2,袋装,冷藏数周,half,false,
黄瓜,蔬菜,15,0.7,3.6,0.1,单个/袋,冷藏~1周,no,false,
彩椒,蔬菜,31,1,6,0.3,单个/袋,冷藏~1-2周,no,false,
番茄,蔬菜,18,0.9,3.9,0.2,单个/袋,常温/冷藏,no,false,
卷心菜,蔬菜,25,1.3,6,0.1,整颗,冷藏久,half,false,
辣白菜 kimchi,蔬菜,30,1.6,6,0.5,罐/袋,冷藏久放,yes,false,"含调味,非普通白菜"
白萝卜,蔬菜,18,0.6,4,0.1,单根,冷藏久,half,false,
洋葱,蔬菜,40,1.1,9,0.1,袋装,常温久放,yes,false,
西葫芦,蔬菜,17,1.2,3.1,0.3,单个,冷藏~1周,no,false,
金针菇/口蘑,蔬菜,30,2.5,5,0.3,袋/盒,冷藏~1周,no,false,
绿豆芽,蔬菜,30,3,6,0.2,袋装,冷藏~3天,no,false,易坏
海带(泡发),蔬菜,45,1.7,9,0.6,干货/盒,干货常温久,yes,false,
莲藕,蔬菜,74,1.6,17,0.1,单节,冷藏~1周,half,false,
荷兰豆,蔬菜,42,2.8,7.5,0.2,袋装,冷藏~5天,no,false,
秋葵,蔬菜,33,1.9,7,0.2,袋装,冷藏~5天,no,false,
茄子,蔬菜,25,1,6,0.2,单个,冷藏~1周,no,false,
芥蓝/茼蒿/莴笋,蔬菜,22,2,4,0.3,把/袋,冷藏~5天,no,false,绿叶类近似值
香蕉,水果,89,1.1,23,0.3,按串,常温几天,no,false,每根约118g(105kcal)
苹果,水果,53,0.3,14,0.2,单个/袋,冷藏数周,yes,false,每个约180g(95kcal)
黑醋 balsamic,酱料,88,0.5,17,0,瓶装,常温久放,yes,false,1 tbsp≈16g
芥末 mustard,酱料,60,4,5,3,瓶装,冷藏久放,yes,false,用量小
柚子醋 ponzu,酱料,50,1.5,10,0,瓶装,冷藏久放,yes,false,乌冬用
咖喱块,酱料,450,6,45,28,盒装,常温久放,yes,false,"牌子差异大,务必核"
everything贝果,碳水,285,10.5,56,3.8,袋装,冷冻可,yes,false,每个约100g;参考值待核
St Michel饼干galettes,零食,515,6.1,69.7,21.2,盒18份,常温久放,yes,true,实测:每份2片33g=170kcal
减脂蛋黄酱light mayo,酱料,330,0.6,9,33,瓶装,冷藏久放,yes,false,参考值待核
